unique_name,X_DBMS,dbdbio_card_title,Y_DBMS,match_state,manu_labeled_flag,DBMS,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,open_source_license,Score_Feb-2023,Rank_Feb-2023
covenantsql,covenantsql,CovenantSQL,CovenantSQL,Normal,Y_auto,covenantsql#dbdbio>|<dbengines#CovenantSQL,Relational,Go,SQL,Shared-Nothing,Covenant Labs,CN,2018,,"Commercial,Open Source",Apache v2,CovenantSQL/CovenantSQL,Y,0.0,389
cozo,cozo,Cozo,,X_Never,Y_auto,cozo,Relational,Rust,Datalog,Embedded,Ziyang Hu,GB,2022,,"Hobby,Open Source",Mozilla Public License,cozodb/cozo,Y,,
cqlite,cqlite,CQLite,,X_Never,Y_auto,cqlite,Graph,Rust,Cypher,Embedded,Tilman Roeder,GB,2021,,"Hobby,Open Source",MIT,dyedgreen/cqlite,Y,,
cratedb,cratedb,CrateDB,CrateDB,Normal,Y_auto,cratedb#dbdbio>|<dbengines#CrateDB,Document,Java,"SQL,HTTP / REST,Command-line / Shell",Shared-Nothing,Crate.io#dbdbio>|<dbengines#Crate,AT,2014#dbdbio>|<dbengines#2013,,"Commercial,Open Source",Apache v2,crate/crate,Y,0.91,227
cubrid,cubrid,Cubrid,Cubrid,Normal,Y_auto,cubrid#dbdbio>|<dbengines#Cubrid,Relational,C,"Custom API,SQL,Stored Procedures,Command-line / Shell",Shared-Nothing,"Naver Corporation#dbdbio>|<dbengines#CUBRID Corporation, CUBRID Foundation",KR,2008,,Open Source,"BSD,GPL v2#dbdbio>|<dbengines#Apache Version 2.0",CUBRID/cubrid,Y,1.59,168
curiodb,curiodb,CurioDB,,X_Never,Y_auto,curiodb,,Scala,Custom API,Shared-Nothing,Stephen McDonald,AU,2015,,Open Source,BSD,stephenmcd/curiodb,Y,,
databend,databend,Databend,,X_Never,Y_auto,databend,,Rust,SQL,Shared-Disk,Datafuse Labs,CN,2020,,"Commercial,Open Source",Apache v2,datafuselabs/databend,Y,,
datafusion,datafusion,DataFusion,,X_Never,Y_auto,datafusion,,Rust,SQL,Shared-Everything,,US,2016,,Open Source,Apache v2,apache/arrow-datafusion,Y,,
datahike,datahike,Datahike,,X_Never,Y_auto,datahike,,Clojure,Datalog,Shared-Everything,lambdaforge UG,DE,2018,,Open Source,Eclipse Public License,replikativ/datahike,Y,,
datascript,datascript,DataScript,,X_Never,Y_auto,datascript,,Clojure,Datalog,,Nikita Prokopov,RU,2014,,Open Source,Eclipse Public License,tonsky/datascript,Y,,
db4o,db4o,db4o,Db4o,Normal,Y_auto,db4o#dbdbio>|<dbengines#Db4o,Object oriented,,,Embedded,db4objects Inc.,US,2000#dbdbio>|<dbengines#2001,,"Commercial,Open Source","GPL v2,Proprietary#dbdbio>|<dbengines#commercial license available for existing customers only",pegurnee/db4o#dbdbio>|<dbengines#iboxdb/db4o-gpl,Y,2.08,139
