DBMS_urnform,X_DBMS_urnform,Y_DBMS_urnform,match_state,manu_labeled_flag
redcon,redcon,,X_Single,Y_auto
redis,redis,redis,Normal,Y_auto
redisgraph,redisgraph,,X_Single,Y_auto
redisql,redisql,,X_Single,Y_auto
redixdb,redixdb,,X_Single,Y_auto
redstore,redstore,redstore,Normal,Y_auto
reductstore,reductstore,,X_Single,Y_auto
redwood,redwood,,X_Single,Y_auto
refinedb,refinedb,,X_Single,Y_auto
rel,rel,,X_Single,Y_auto
relaxo,relaxo,,X_Single,Y_auto
rethinkdb,rethinkdb,rethinkdb,Normal,Y_auto
rexdb,rexdb,,X_Single,Y_auto
riak,riak,"riak-kv,riak-ts",Multiple,
risinglight,risinglight,,X_Single,Y_auto
risingwave,risingwave,,X_Single,Y_auto
rocksdb,rocksdb,rocksdb,Normal,Y_auto
roma,roma,,X_Single,Y_auto
rondb,rondb,,X_Single,Y_auto
rosedb,rosedb,,X_Single,Y_auto
rqlite,rqlite,,X_Single,Y_auto
rxdb,rxdb,,X_Single,Y_auto
sapphiredb,sapphiredb,,X_Single,Y_auto
scalaris,scalaris,scalaris,Normal,Y_auto
scaliendb,scaliendb,,X_Single,Y_auto
scidb,scidb,scidb,Normal,Y_auto
scylla,scylla,,X_Single,Y_auto
sdb,sdb,,X_Single,Y_auto
seafowl,seafowl,,X_Single,Y_auto
sedna,sedna,sedna,Normal,Y_auto
senseidb,senseidb,senseidb,Normal,Y_auto
sequins,sequins,,X_Single,Y_auto
sequoiadb,sequoiadb,sequoiadb,Normal,Y_auto
serenity,serenity,,X_Single,Y_auto
sesame,sesame,,X_Single,Y_auto
shardingsphere,shardingsphere,,X_Single,Y_auto
shore-mt,shore-mt,,X_Single,Y_auto
shsql,shsql,,X_Single,Y_auto
silo,silo,,X_Single,Y_auto
sirdb,sirdb,,X_Single,Y_auto
siridb,siridb,siridb,Normal,Y_auto
sirixdb,sirixdb,,X_Single,Y_auto
skeletondb,skeletondb,,X_Single,Y_auto
sksql,sksql,,X_Single,Y_auto
skytable,skytable,skytable,Normal,Y_auto
sled,sled,,X_Single,Y_auto
sleekdb,sleekdb,,X_Single,Y_auto
slumber-db,slumber-db,,X_Single,Y_auto
smallsql,smallsql,smallsql,Normal,Y_auto
sneller,sneller,,X_Single,Y_auto
solr,solr,solr,Normal,Y_auto
sones-graphdb,sones-graphdb,,X_Single,Y_auto
sonnerie,sonnerie,,X_Single,Y_auto
spark-sql,spark-sql,spark-sql,Normal,Y_auto
sparrowdb,sparrowdb,,X_Single,Y_auto
speedy,speedy,,X_Single,Y_auto
sphinx,sphinx,sphinx,Normal,Y_auto
spicedb,spicedb,,X_Single,Y_auto
splice-machine,splice-machine,splice-machine,Normal,Y_auto
splinterdb,splinterdb,,X_Single,Y_auto
sqlite,sqlite,sqlite,Normal,Y_auto
srch2,srch2,,X_Single,Y_auto
ssdb,ssdb,,X_Single,Y_auto
starrocks,starrocks,starrocks,Normal,Y_auto
stellarsql,stellarsql,,X_Single,Y_auto
stig,stig,,X_Single,Y_auto
stonedb,stonedb,,X_Single,Y_auto
strabon,strabon,strabon,Normal,Y_auto
strixdb,strixdb,,X_Single,Y_auto
strozzi-nosql,strozzi-nosql,,X_Single,Y_auto
stsdb,stsdb,stsdb,Normal,Y_auto
summitdb,summitdb,,X_Single,Y_auto
surrealdb,surrealdb,surrealdb,Normal,Y_auto
swaydb,swaydb,swaydb,Normal,Y_auto
swc-db,swc-db,swc-db,Normal,Y_auto
sylvadb,sylvadb,,X_Single,Y_auto
tabdb,tabdb,,X_Single,Y_auto
taffydb,taffydb,,X_Single,Y_auto
tajo,tajo,tajo,Normal,Y_auto
tarantool,tarantool,tarantool,Normal,Y_auto
tayzgrid,tayzgrid,,X_Single,Y_auto
tdengine,tdengine,tdengine,Normal,Y_auto
tendis,tendis,,X_Single,Y_auto
tensorbase,tensorbase,,X_Single,Y_auto
tera,tera,,X_Single,Y_auto
terarkdb,terarkdb,terarkdb,Normal,Y_auto
terminusdb,terminusdb,terminusdb,Normal,Y_auto
terrastore,terrastore,,X_Single,Y_auto
thinksql,thinksql,,X_Single,Y_auto
thrudb,thrudb,,X_Single,Y_auto
tidb,tidb,tidb,Normal,Y_auto
tiedot,tiedot,,X_Single,Y_auto
tieredmemdb,tieredmemdb,,X_Single,Y_auto
tigerbeetle,tigerbeetle,,X_Single,Y_auto
tikv,tikv,,X_Single,Y_auto
tile38,tile38,,X_Single,Y_auto
tiledb,tiledb,,X_Single,Y_auto
timbala,timbala,,X_Single,Y_auto
timber,timber,,X_Single,Y_auto
tingodb,tingodb,,X_Single,Y_auto
tinybase,tinybase,,X_Single,Y_auto
tinydb,tinydb,,X_Single,Y_auto
tinysql,tinysql,,X_Single,Y_auto
titan,titan,,X_Single,Y_auto
titan-nosql,titan-nosql,,X_Single,Y_auto
tokudb,tokudb,,X_Single,Y_auto
tokumx,tokumx,,X_Single,Y_auto
tokyo-cabinet,tokyo-cabinet,,X_Single,Y_auto
tomp2p,tomp2p,tomp2p,Normal,Y_auto
torodb,torodb,torodb,Normal,Y_auto
trafodion,trafodion,trafodion,Normal,Y_auto
traildb,traildb,,X_Single,Y_auto
treodedb,treodedb,,X_Single,Y_auto
trino,trino,trino,Normal,Y_auto
trousseau,trousseau,,X_Single,Y_auto
ts-sql,ts-sql,,X_Single,Y_auto
twig,twig,,X_Single,Y_auto
typedb,typedb,typedb,Normal,Y_auto
typhoon,typhoon,,X_Single,Y_auto
unqlite,unqlite,,X_Single,Y_auto
upscaledb,upscaledb,upscaledb,Normal,Y_auto
vanilladb,vanilladb,,X_Single,Y_auto
vectorsql,vectorsql,,X_Single,Y_auto
velox,velox,,X_Single,Y_auto
veloxdb,veloxdb,,X_Single,Y_auto
vertexdb,vertexdb,,X_Single,Y_auto
vespa,vespa,,X_Single,Y_auto
victoriametrics,victoriametrics,victoriametrics,Normal,Y_auto
vitess,vitess,vitess,Normal,Y_auto
viyadb,viyadb,,X_Single,Y_auto
voldemort,voldemort,project-voldemort,Fuzzy,
voltdb,voltdb,voltdb,Normal,Y_auto
vsql,vsql,,X_Single,Y_auto
vyhodb,vyhodb,,X_Single,Y_auto
warp-10,warp-10,warp-10,Normal,Y_auto
weaviate,weaviate,weaviate,Normal,Y_auto
webscalesql,webscalesql,,X_Single,Y_auto
whitedb,whitedb,whitedb,Normal,Y_auto
wiredtiger,wiredtiger,,X_Single,Y_auto
wonderdb,wonderdb,,X_Single,Y_auto
xap,xap,,X_Single,Y_auto
xapian,xapian,xapian,Normal,Y_auto
xodus,xodus,,X_Single,Y_auto
xtdb,xtdb,xtdb,Normal,Y_auto
ydb,ydb,ydb,Normal,Y_auto
yottadb,yottadb,,X_Single,Y_auto
yugabytedb,yugabytedb,yugabytedb,Normal,Y_auto
zerodb,zerodb,,X_Single,Y_auto
zodb,zodb,zodb,Normal,Y_auto
zoodb,zoodb,,X_Single,Y_auto
zookeeper,zookeeper,,X_Single,Y_auto
acebase,,acebase,Y_Single,Y_auto
adabas,,adabas,Y_Single,Y_auto
apache-flink,,apache-flink,Y_Single,Y_auto
atoti,,atoti,Y_Single,Y_auto
badger,,badger,Y_Single,Y_auto
cachelotio,,cachelotio,Y_Single,Y_auto
databricks,,databricks,Y_Single,Y_auto
dydra,,dydra,Y_Single,Y_auto
elassandra,,elassandra,Y_Single,Y_auto
eventstoredb,,eventstoredb,Y_Single,Y_auto
firebolt,,firebolt,Y_Single,Y_auto
geomesa,,geomesa,Y_Single,Y_auto
gigaspaces,,gigaspaces,Y_Single,Y_auto
giraph,,giraph,Y_Single,Y_auto
graph-engine,,graph-engine,Y_Single,Y_auto
graphite,,graphite,Y_Single,Y_auto
h2gis,,h2gis,Y_Single,Y_auto
hawkular-metrics,,hawkular-metrics,Y_Single,Y_auto
heavyai,,heavyai,Y_Single,Y_auto
hgraphdb,,hgraphdb,Y_Single,Y_auto
hugegraph,,hugegraph,Y_Single,Y_auto
hyperleveldb,,hyperleveldb,Y_Single,Y_auto
iboxdb,,iboxdb,Y_Single,Y_auto
jaguardb,,jaguardb,Y_Single,Y_auto
kdb,,kdb,Y_Single,Y_auto
kyoto-tycoon,,kyoto-tycoon,Y_Single,Y_auto
leveldb,,leveldb,Y_Single,Y_auto
marqo,,marqo,Y_Single,Y_auto
matisse,,matisse,Y_Single,Y_auto
nebulagraph,,nebulagraph,Y_Single,Y_auto
neventstore,,neventstore,Y_Single,Y_auto
newts,,newts,Y_Single,Y_auto
nsdb,,nsdb,Y_Single,Y_auto
opengauss,,opengauss,Y_Single,Y_auto
opensearch,,opensearch,Y_Single,Y_auto
oracle-coherence,,oracle-coherence,Y_Single,Y_auto
postgis,,postgis,Y_Single,Y_auto
postgres-xl,,postgres-xl,Y_Single,Y_auto
presto,,presto,Y_Single,Y_auto
qdrant,,qdrant,Y_Single,Y_auto
rasdaman,,rasdaman,Y_Single,Y_auto
rdf4j,,rdf4j,Y_Single,Y_auto
redland,,redland,Y_Single,Y_auto
resin-cache,,resin-cache,Y_Single,Y_auto
rrdtool,,rrdtool,Y_Single,Y_auto
scylladb,,scylladb,Y_Single,Y_auto
siaqodb,,siaqodb,Y_Single,Y_auto
sitewhere,,sitewhere,Y_Single,Y_auto
snowflake,,snowflake,Y_Single,Y_auto
spatialite,,spatialite,Y_Single,Y_auto
speedb,,speedb,Y_Single,Y_auto
sqljs,,sqljs,Y_Single,Y_auto
tigris,,tigris,Y_Single,Y_auto
timescaledb,,timescaledb,Y_Single,Y_auto
tinkergraph,,tinkergraph,Y_Single,Y_auto
tkrzw,,tkrzw,Y_Single,Y_auto
tokyo-tyrant,,tokyo-tyrant,Y_Single,Y_auto
transwarp-stellardb,,transwarp-stellardb,Y_Single,Y_auto
typesense,,typesense,Y_Single,Y_auto
virtuoso,,virtuoso,Y_Single,Y_auto
wakandadb,,wakandadb,Y_Single,Y_auto
