unique_name,X_DBMS,dbdbio_card_title,Y_DBMS,match_state,manu_labeled_flag
pickledb,pickledb,pickleDB,,X_Never,Y_auto
picodb,picodb,PicoDB,,X_Never,Y_auto
pika,pika,Pika,,X_Never,Y_auto
piladb,piladb,piladb,,X_Never,Y_auto
pilosa,pilosa,Pilosa,,X_Never,Y_auto
pincaster,pincaster,Pincaster,,X_Never,Y_auto
pinot,pinot,Pinot,Apache Pinot,Fuzzy,
pinusdb,pinusdb,PinusDB,,X_Never,Y_auto
pipelinedb,pipelinedb,PipelineDB,PipelineDB,Normal,Y_auto
pogreb,pogreb,Pogreb,,X_Never,Y_auto
polypheny,polypheny,Polypheny,,X_Never,Y_auto
pouchdb,pouchdb,PouchDB,PouchDB,Normal,Y_auto
pranadb,pranadb,PranaDB,,X_Never,Y_auto
prestodb,prestodb,PrestoDB,,X_Never,Y_auto
prometheus,prometheus,Prometheus,Prometheus,Normal,Y_auto
pumpkindb,pumpkindb,PumpkinDB,,X_Never,Y_auto
pupdb,pupdb,PupDB,,X_Never,Y_auto
qikkdb,qikkdb,qikkDB,,X_Never,Y_auto
qserv,qserv,Qserv,,X_Never,Y_auto
quadrable,quadrable,Quadrable,,X_Never,Y_auto
questdb,questdb,QuestDB,QuestDB,Normal,Y_auto
quickstep,quickstep,Quickstep,,X_Never,Y_auto
quokka,quokka,Quokka,,X_Never,Y_auto
radondb,radondb,RadonDB,,X_Never,Y_auto
ragedb,ragedb,RageDB,,X_Never,Y_auto
ravendb,ravendb,RavenDB,RavenDB,Normal,Y_auto
realm,realm,Realm,Realm,Normal,Y_auto
redb,redb,redb,,X_Never,Y_auto
redcon,redcon,Redcon,,X_Never,Y_auto
redis,redis,Redis,Redis,Normal,Y_auto
redisql,redisql,RediSQL,,X_Never,Y_auto
redixdb,redixdb,RedixDB,,X_Never,Y_auto
redstore,redstore,RedStore,RedStore,Normal,Y_auto
reductstore,reductstore,ReductStore,,X_Never,Y_auto
redwood,redwood,Redwood,,X_Never,Y_auto
refinedb,refinedb,RefineDB,,X_Never,Y_auto
rel,rel,Rel,,X_Never,Y_auto
relaxo,relaxo,Relaxo,,X_Never,Y_auto
rethinkdb,rethinkdb,RethinkDB,RethinkDB,Normal,Y_auto
riak,riak,Riak,"Riak KV,Riak TS",Multiple,
risinglight,risinglight,RisingLight,,X_Never,Y_auto
risingwave,risingwave,RisingWave,,X_Never,Y_auto
rocksdb,rocksdb,RocksDB,RocksDB,Normal,Y_auto
roma,roma,ROMA,,X_Never,Y_auto
rondb,rondb,RonDB,,X_Never,Y_auto
rosedb,rosedb,RoseDB,,X_Never,Y_auto
rqlite,rqlite,rqlite,,X_Never,Y_auto
rxdb,rxdb,RxDB,,X_Never,Y_auto
sapphiredb,sapphiredb,SapphireDb,,X_Never,Y_auto
scalaris,scalaris,Scalaris,Scalaris,Normal,Y_auto
scaliendb,scaliendb,ScalienDB,,X_Never,Y_auto
scylla,scylla,Scylla,,X_Never,Y_auto
sdb,sdb,SDB,,X_Never,Y_auto
seafowl,seafowl,Seafowl,,X_Never,Y_auto
senseidb,senseidb,SenseiDB,SenseiDB,Normal,Y_auto
sequins,sequins,Sequins,,X_Never,Y_auto
sequoiadb,sequoiadb,SequoiaDB,Sequoiadb,Normal,Y_auto
serenity,serenity,Serenity,,X_Never,Y_auto
shardingsphere,shardingsphere,ShardingSphere,,X_Never,Y_auto
silo,silo,Silo,,X_Never,Y_auto
sirdb,sirdb,Sir.DB,,X_Never,Y_auto
siridb,siridb,SiriDB,SiriDB,Normal,Y_auto
sirixdb,sirixdb,SirixDB,,X_Never,Y_auto
skeletondb,skeletondb,SkeletonDB,,X_Never,Y_auto
sksql,sksql,SKSQL,,X_Never,Y_auto
skytable,skytable,Skytable,Skytable,Normal,Y_auto
sled,sled,Sled,,X_Never,Y_auto
sleekdb,sleekdb,SleekDB,,X_Never,Y_auto
slumber-db,slumber-db,Slumber DB,,X_Never,Y_auto
sneller,sneller,Sneller,,X_Never,Y_auto
solr,solr,Solr,Solr,Normal,Y_auto
sones-graphdb,sones-graphdb,sones GraphDB,,X_Never,Y_auto
sonnerie,sonnerie,Sonnerie,,X_Never,Y_auto
spark-sql,spark-sql,Spark SQL,Spark SQL,Normal,Y_auto
sparrowdb,sparrowdb,SparrowDB,,X_Never,Y_auto
sphinx,sphinx,Sphinx,Sphinx,Normal,Y_auto
spicedb,spicedb,SpiceDB,,X_Never,Y_auto
splice-machine,splice-machine,Splice Machine,Splice Machine,Normal,Y_auto
splinterdb,splinterdb,SplinterDB,,X_Never,Y_auto
srch2,srch2,SRCH²,,X_Never,Y_auto
ssdb,ssdb,SSDB,,X_Never,Y_auto
starrocks,starrocks,StarRocks,,X_Never,Y_auto
stellarsql,stellarsql,StellarSQL,,X_Never,Y_auto
stig,stig,Stig,,X_Never,Y_auto
stonedb,stonedb,StoneDB,,X_Never,Y_auto
summitdb,summitdb,SummitDB,,X_Never,Y_auto
surrealdb,surrealdb,SurrealDB,SurrealDB,Normal,Y_auto
swaydb,swaydb,SwayDB,SwayDB,Normal,Y_auto
swc-db,swc-db,SWC-DB,SWC-DB,Normal,Y_auto
sylvadb,sylvadb,SylvaDB,,X_Never,Y_auto
tabdb,tabdb,TabDB,,X_Never,Y_auto
taffydb,taffydb,TaffyDB,,X_Never,Y_auto
tarantool,tarantool,Tarantool,Tarantool,Normal,Y_auto
tdengine,tdengine,TDengine,TDengine,Normal,Y_auto
tendis,tendis,Tendis,,X_Never,Y_auto
tensorbase,tensorbase,TensorBase,,X_Never,Y_auto
tera,tera,Tera,,X_Never,Y_auto
terarkdb,terarkdb,TerarkDB,TerarkDB,Normal,Y_auto
terminusdb,terminusdb,TerminusDB,TerminusDB,Normal,Y_auto
thinksql,thinksql,ThinkSQL,,X_Never,Y_auto
tidb,tidb,TiDB,TiDB,Normal,Y_auto
tiedot,tiedot,tiedot,,X_Never,Y_auto
tieredmemdb,tieredmemdb,TieredMemDB,,X_Never,Y_auto
tigerbeetle,tigerbeetle,TigerBeetle,,X_Never,Y_auto
tikv,tikv,TiKV,,X_Never,Y_auto
tile38,tile38,Tile38,,X_Never,Y_auto
tiledb,tiledb,TileDB,,X_Never,Y_auto
timbala,timbala,Timbala,,X_Never,Y_auto
tingodb,tingodb,TingoDB,,X_Never,Y_auto
tinybase,tinybase,TinyBase,,X_Never,Y_auto
tinydb,tinydb,TinyDB,,X_Never,Y_auto
titan-nosql,titan-nosql,Titan,,X_Never,Y_auto
titan,titan,Titan,,X_Never,Y_auto
tokudb,tokudb,TokuDB,,X_Never,Y_auto
tokumx,tokumx,TokuMX,,X_Never,Y_auto
tomp2p,tomp2p,TomP2P,TomP2P,Normal,Y_auto
torodb,torodb,ToroDB,ToroDB,Normal,Y_auto
trafodion,trafodion,Trafodion,Trafodion,Normal,Y_auto
traildb,traildb,TrailDB,,X_Never,Y_auto
treodedb,treodedb,TreodeDB,,X_Never,Y_auto
trino,trino,Trino,Trino,Normal,Y_auto
trousseau,trousseau,Trousseau,,X_Never,Y_auto
ts-sql,ts-sql,ts-sql,,X_Never,Y_auto
typedb,typedb,TypeDB,TypeDB,Normal,Y_auto
typhoon,typhoon,Typhoon,,X_Never,Y_auto
unqlite,unqlite,UnQLite,,X_Never,Y_auto
upscaledb,upscaledb,upscaledb,Upscaledb,Normal,Y_auto
vanilladb,vanilladb,VanillaDB,,X_Never,Y_auto
vectorsql,vectorsql,VectorSQL,,X_Never,Y_auto
velox,velox,Velox,,X_Never,Y_auto
veloxdb,veloxdb,VeloxDB,,X_Never,Y_auto
vertexdb,vertexdb,VertexDB,,X_Never,Y_auto
vespa,vespa,Vespa,,X_Never,Y_auto
victoriametrics,victoriametrics,VictoriaMetrics,VictoriaMetrics,Normal,Y_auto
vitess,vitess,Vitess,,X_Never,Y_auto
viyadb,viyadb,ViyaDB,,X_Never,Y_auto
voldemort,voldemort,Voldemort,Project Voldemort,Fuzzy,
voltdb,voltdb,VoltDB,VoltDB,Normal,Y_auto
vsql,vsql,vsql,,X_Never,Y_auto
warp-10,warp-10,Warp 10,Warp 10,Normal,Y_auto
weaviate,weaviate,Weaviate,Weaviate,Normal,Y_auto
webscalesql,webscalesql,WebScaleSQL,,X_Never,Y_auto
whitedb,whitedb,WhiteDB,WhiteDB,Normal,Y_auto
wiredtiger,wiredtiger,WiredTiger,,X_Never,Y_auto
wonderdb,wonderdb,WonderDB,,X_Never,Y_auto
xap,xap,XAP,,X_Never,Y_auto
xodus,xodus,Xodus,,X_Never,Y_auto
xtdb,xtdb,XTDB,XTDB,Normal,Y_auto
ydb,ydb,YDB,YDB,Normal,Y_auto
yottadb,yottadb,YottaDB,,X_Never,Y_auto
yugabytedb,yugabytedb,YugabyteDB,YugabyteDB,Normal,Y_auto
zerodb,zerodb,ZeroDB,,X_Never,Y_auto
zodb,zodb,ZODB,ZODB,Normal,Y_auto
zoodb,zoodb,ZooDB,,X_Never,Y_auto
zookeeper,zookeeper,Zookeeper,,X_Never,Y_auto
,,,PostgreSQL,Y_Never,Y_auto
,,,SQLite,Y_Never,Y_auto
,,,Snowflake,Y_Never,Y_auto
,,,Hive,Y_Never,Y_auto
,,,Databricks,Y_Never,Y_auto
,,,HBase,Y_Never,Y_auto
,,,PostGIS,Y_Never,Y_auto
,,,Presto,Y_Never,Y_auto
,,,Google Cloud Firestore,Y_Never,Y_auto
,,,OpenSearch,Y_Never,Y_auto
,,,MarkLogic,Y_Never,Y_auto
,,,Graphite,Y_Never,Y_auto
,,,Virtuoso,Y_Never,Y_auto
,,,Ingres,Y_Never,Y_auto
,,,ScyllaDB,Y_Never,Y_auto
,,,Adabas,Y_Never,Y_auto
,,,HyperSQL,Y_Never,Y_auto
,,,TimescaleDB,Y_Never,Y_auto
,,,Oracle NoSQL,Y_Never,Y_auto
,,,LevelDB,Y_Never,Y_auto
,,,RRDtool,Y_Never,Y_auto
,,,Apache Phoenix,Y_Never,Y_auto
,,,LMDB,Y_Never,Y_auto
,,,Oracle Coherence,Y_Never,Y_auto
,,,HEAVY.AI,Y_Never,Y_auto
,,,Geode,Y_Never,Y_auto
,,,GridGain,Y_Never,Y_auto
,,,SpatiaLite,Y_Never,Y_auto
,,,NebulaGraph,Y_Never,Y_auto
,,,SQL.JS,Y_Never,Y_auto
