DBMS_urnform,X_DBMS_urnform,Y_DBMS_urnform,match_state,manu_labeled_flag,DBMS_common_name,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,open_source_license,Score_May-2023,Rank_May-2023
aviondb,aviondb,,X_Single,Y_auto,AvionDB,Document,JavaScript,Custom API,Shared-Nothing,DappKit,"US,IN",2020,,"Commercial,Open Source",MIT,dappkit/aviondb,Y,,
axion,axion,,X_Single,Y_auto,Axion,Relational,Java,SQL,Embedded,,US,2002,2007,Open Source,,,Y,,
badgerdb,badgerdb,badger,Fuzzy:Normal,Y,BadgerDB#dbdbio>|<dbengines#Badger,Key-value,Go,Custom API,Embedded,Dgraph#dbdbio>|<dbengines#DGraph Labs,US,2017,,Open Source,Apache v2#dbdbio>|<dbengines#Apache 2.0,dgraph-io/badger,Y,0.16,377
bagri,bagri,,X_Single,Y_auto,Bagri,Document,Java,,,,RU,2014,,Open Source,Apache v2,dsukhoroslov/bagri,Y,,
baikaldb,baikaldb,,X_Single,Y_auto,BaikalDB,Relational,C++,SQL,Shared-Nothing,Baidu,CN,2018,,Open Source,Apache v2,baidu/BaikalDB,Y,,
bangdb,bangdb,bangdb,Normal,Y_auto,BangDB#dbdbio>|<dbengines#Bangdb,Key-value#dbdbio>|<dbengines#Document,C,,"Shared-Everything,Embedded","IQLECT#dbdbio>|<dbengines#Sachin Sinha, BangDB",IN,2015#dbdbio>|<dbengines#2012,2021,"Commercial,Open Source",BSD#dbdbio>|<dbengines#BSD 3,sachin-sinha/BangDB,Y,0.38,325
basex,basex,basex,Normal,Y_auto,BaseX,Document#dbdbio>|<dbengines#Native XML,Java,XQuery,,BaseX GmbH,DE,2007,2023,"Academic,Open Source",BSD#dbdbio>|<dbengines#BSD license,BaseXdb/basex,Y,2.23,147
bayesdb,bayesdb,,X_Single,Y_auto,BayesDB,,Python,,,Massachusetts Institute of Technology,US,2015,,"Academic,Open Source",Apache v2,probcomp/bayeslite,Y,,
bbolt,bbolt,,X_Single,Y_auto,bbolt,Key-value,Go,,,CoreOS,US,2017,,Open Source,MIT,etcd-io/bbolt,Y,,
bboxdb,bboxdb,,X_Single,Y_auto,BBoxDB,Array,Java,"Custom API,Command-line / Shell",Shared-Nothing,Jan Nidzwetzki,DE,2015,,Open Source,Apache v2,jnidzwetzki/bboxdb,Y,,
beagle-sql,beagle-sql,,X_Single,Y_auto,Beagle SQL,Relational,C++,,,"Robert Klein, Jean-Claude Magras",US,1996,1999,Open Source,,jonahharris/osdb-beaglesql,Y,,
bedrock,bedrock,,X_Single,Y_auto,Bedrock,Relational,C++,"SQL,Command-line / Shell","Shared-Disk,Embedded",Expensify,US,2016,,Open Source,LGPL v3,Expensify/Bedrock,Y,,
bergdb,bergdb,bergdb,Normal,Y_auto,BergDB,Document#dbdbio>|<dbengines#Key-value,Java,,Embedded,Frans Lundberg,SE,2013,,Open Source,AGPL v3#dbdbio>|<dbengines#Gnu Affero General Public License (AGPL),bergdb/bergdb,Y,0.0,398
beringei,beringei,,X_Single,Y_auto,Beringei,Key-value,C++,Custom API,Shared-Nothing,Facebook,US,2015,2017,Open Source,BSD,facebookarchive/beringei,Y,,
berkeley-db,berkeley-db,oracle-berkeley-db,Fuzzy:Normal,Y,Berkeley DB#dbdbio>|<dbengines#Oracle Berkeley DB,"Key-value,Document#dbdbio>|<dbengines#Key-value",,"Custom API,SQL,PL/SQL",Embedded,Sleepycat Software#dbdbio>|<dbengines#Oracle,US,1994,2020,"Commercial,Open Source","AGPL v3,Apache v2#dbdbio>|<dbengines#commercial license available",berkeleydb/libdb,Y,3.71,101
beryldb,beryldb,,X_Single,Y_auto,BerylDB,Key-value,C++,Custom API,,Beryl Labs,CL,2021,,"Hobby,Open Source",BSD,beryldb/beryldb,Y,,
bigchaindb,bigchaindb,bigchaindb,Normal,Y_auto,BigchainDB,"Key-value,Document#dbdbio>|<dbengines#Document",Python,HTTP / REST,Shared-Nothing,BigchainDB GmbH,DE,2015#dbdbio>|<dbengines#2016,,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#AGPL v3,bigchaindb/bigchaindb,Y,1.13,218
binaryrage,binaryrage,,X_Single,Y_auto,BinaryRage,Key-value,C#,Custom API,Embedded,Michael Christensen,DK,2012,2016,"Hobby,Open Source",,mchidk/BinaryRage,Y,,
bitcask,bitcask,,X_Single,Y_auto,Bitcask,Key-value,Go,Custom API,Embedded,James Mills,AU,2019,,Open Source,MIT,prologic/bitcask,Y,,
bitsy,bitsy,,X_Single,Y_auto,Bitsy,Graph,Java,Gremlin,Embedded,LambdaZen LLC,US,2013,,Open Source,Apache v2,lambdazen/bitsy,Y,,
blackray,blackray,,X_Single,Y_auto,BlackRay,Relational,C++,SQL,Shared-Everything,,DE,2005,2013,"Commercial,Open Source",GPL v2,,Y,,
blazegraph,blazegraph,blazegraph,Normal,Y_auto,Blazegraph,"Graph,RDF#dbdbio>|<dbengines#Graph",Java,SPARQL,Shared-Nothing,"SYSTAP, LLC.#dbdbio>|<dbengines#Blazegraph",US,2006,2019,"Commercial,Open Source",GPL v2#dbdbio>|<dbengines#extended commercial license available,blazegraph/database,Y,1.15,216
blazingsql,blazingsql,,X_Single,Y_auto,BlazingSQL,Relational,C++,SQL,Shared-Nothing,BlazingDB,PE,2015,2021,"Commercial,Open Source","Apache v2,Proprietary",blazingdb/pyBlazing,Y,,
blinkdb,blinkdb,,X_Single,Y_auto,BlinkDB,Relational,,SQL,Shared-Disk,"University of California-Berkeley, Massachusetts Institute of Technology",US,2012,2014,"Academic,Open Source",Apache v2,sameeragarwal/blinkdb,Y,,
blueflood,blueflood,blueflood,Normal,Y_auto,Blueflood,Time Series,Java,,,Rackspace,US,2013,,Open Source,Apache v2#dbdbio>|<dbengines#Apache 2.0,rackerlabs/blueflood,Y,0.29,346
bojack,bojack,,X_Single,Y_auto,BoJack,Key-value,Crystal,Command-line / Shell,Shared-Everything,Marcelo Boeira,DE,2016,2018,Open Source,MIT,marceloboeira/bojack,Y,,
boltdb,boltdb,boltdb,Normal,Y_auto,BoltDB,Key-value,Go,Custom API,Embedded,Ben Johnson,US,2013,2017,Open Source,MIT#dbdbio>|<dbengines#MIT License,boltdb/bolt,Y,0.99,232
bonsaidb,bonsaidb,,X_Single,Y_auto,BonsaiDb,Key-value,Rust,,"Shared-Everything,Embedded",Khonsu Labs,US,2021,,Open Source,"Apache v2,MIT",khonsulabs/bonsaidb,Y,,
brightstardb,brightstardb,brightstardb,Normal,Y_auto,BrightstarDB,RDF,C#,,,,GB,2012,,Open Source,MIT,BrightstarDB/BrightstarDB,Y,0.37,330
btdb,btdb,,X_Single,Y_auto,BTDB,"Key-value,Object oriented",C#,Custom API,,Boris Letocha,CZ,2010,,Open Source,MIT,Bobris/BTDB,Y,,
